NAME,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
上海,13560.0,5461.0,121.0,121.0,31.0,-19.7785417,34.51076342,0.019530686,-3.935768412,3.19547451458055E-07,-14.95636006,0.065769695,0.021687096,0.020026312,-2.721596107,-3.831037861,-3.910708248,1.0,1.0,0.766576726,0.663468209,0.142012764,0.176887738,2,2,2,2
云南,12657.333333333300,4558.333333333330,101,101,25.66666667,7.794135579,12.03141009,0.166741466,-1.987392104,0.001868682,-7.77877366,0.620395832,0.468261203,0.304654938,-0.657488122,-0.95912256,-1.293986915,1,1,1.660541894,1.345010242,1.673709701,1.465818435,4,4,4,4
内蒙古,13257.21875,5158.21875,114.125,114.125,44.1875,3.578592581,9.222015503,0.291139422,-1.897278446,0.000250848,-9.846982028,0.230516553,0.183123044,0.117805255,-1.816354471,-2.133744464,-2.485656571,1,1,1.158636879,1.376532,1.232354035,1.203215209,3,4,4,4
台湾,13556.0,5457,121,121,23,11.74341342,24.12761342,0.095823526,-2.345247051,0.000115262,-9.068302067,0.377245926,0.282680192,0.228411145,-0.974857982,-1.263439082,-1.476608006,1,1,1.523089008,1.219832582,1.398524339,1.236720888,4,4,4,4
吉林,13821.333333333300,5722.333333333330,126.6666667,126.6666667,43.66666667,3.121383687,13.16253781,0.140677836,-2.14036584,7.44819183560356E-05,-10.78078058,0.157581612,0.115027395,0.087078699,-2.021695167,-2.38951274,-2.638080111,1,1,1.069703823,1.291500029,1.033081424,1.03956025,3,4,3,3
四川,12731.9,4632.9,102.6,102.6,30.8,2.346143619,13.9085,0.106342933,-2.610698044,0.001582976,-8.967293771,0.395967315,0.284595619,0.157493502,-1.223833742,-1.689770382,-2.122217387,1,1,1.415257606,1.126977824,1.420079509,1.214955158,4,3,4,4
天津,13384.0,5285,117,117,39,-17.4937082,19.59923431,0.011386358,-4.475339293,5.68736867331393E-08,-16.68243305,0.043369551,0.013184256,0.012210655,-3.137997684,-4.32873191,-4.405446336,1,1,0.586233203,0.474726315,-0.226331213,-0.142571002,2,2,1,1
安徽,13380.5,5281.5,117,117,32,0.087146319,24.53105142,0.063359316,-2.799888965,7.06088187408513E-06,-12.08068969,0.123356754,0.072642075,0.055730191,-2.106619168,-2.650993526,-2.909991469,1,1,1.032923238,1.06079884,0.75568082,0.756135251,3,3,2,2
山东,13418.6,5319.6,117.8,117.8,36.2,-8.543084734,22.88193458,0.032104349,-3.558795758,1.29200161089601E-06,-13.87475529,0.064119344,0.0322368,0.02592787,-2.754056143,-3.466400076,-3.671363592,1,1,0.752518284,0.795333244,0.372827221,0.384664599,2,2,2,2
山西,13158.0,5059,112,112,37,-4.617190824,16.78437184,0.025669411,-3.710048224,3.23488024390769E-06,-12.89650905,0.073099458,0.039279699,0.032047633,-2.629258076,-3.269495392,-3.464704722,1,1,0.806568327,0.742425131,0.58158497,0.484175121,3,2,2,2
广东,13226.333333333300,5127.333333333330,113.6666667,113.6666667,23.66666667,-1.203682213,30.79893235,0.057848567,-3.167225052,3.08072089546884E-05,-11.28496058,0.237045243,0.140954914,0.109209291,-1.502859061,-2.120136199,-2.340859776,1,1,1.294411741,0.932304677,0.925489412,0.8000364,4,3,3,3
广西,12998.4,4899.4,108.6,108.6,23.8,11.53725392,19.06961327,0.170987409,-1.814437983,0.000223757,-8.677914087,0.42160865,0.324683383,0.227872934,-0.892550284,-1.16215822,-1.501397148,1,1,1.558736472,1.405509593,1.481833134,1.380095819,4,4,4,4
新疆,11956.891304347800,3857.891304347830,85.26086957,85.26086957,41.30434783,5.874768785,7.974914266,0.284295255,-1.496820805,0.00182705,-7.96846468,0.401960834,0.32653589,0.177878946,-1.209217155,-1.422055625,-1.899048101,1,1,1.42158805,1.516612082,1.633229637,1.520345249,4,4,4,4
江苏,13471.5,5372.5,119,119,34,-0.181791971,22.5533211,0.065707825,-2.732203236,5.25796146156897E-06,-12.22620665,0.094436485,0.057809217,0.042593544,-2.360376443,-2.853802767,-3.157577751,1,1,0.923020962,1.084475308,0.724627502,0.746413693,3,3,2,2
江西,13310.75,5211.75,115.5,115.5,27.5,10.9185217,20.42371442,0.175365995,-1.769073308,0.000112572,-9.33058226,0.344831385,0.26052677,0.186913247,-1.100781155,-1.39038731,-1.717918086,1,1,1.468551682,1.421378157,1.342553746,1.302511994,4,4,4,4
河北,13316.75,5217.75,115.5,115.5,39.5,-12.48830798,17.48357362,0.011813571,-4.462939859,2.74135463914305E-07,-15.28336478,0.04761499,0.016950637,0.015303005,-3.051841629,-4.09067258,-4.190885383,1,1,0.62354739,0.479063637,0.072229956,0.039131936,2,2,2,2
河南,13201.5,5102.5,113,113,34,-11.96680641,23.86148247,0.020843863,-4.049321949,1.20364725439989E-06,-14.19081606,0.073721795,0.032702489,0.027588087,-2.634294458,-3.523982205,-3.670042858,1,1,0.80438707,0.623747182,0.305379854,0.257946338,3,2,2,2
浙江,13514.0,5415,120,120,29,4.543867061,23.69329438,0.102025725,-2.486607049,3.30585111114871E-05,-10.8929014,0.20748108,0.142826358,0.109604349,-1.661347241,-2.098278546,-2.343094466,1,1,1.22577051,1.170384854,1.009154841,0.969246785,4,3,3,3
海南,13014.0,4915,109,109,19,11.43976641,9.728059436,0.618586473,-0.480318286,0.001792775,-6.323990804,1.154898637,0.937726387,0.4537407,0.14401258,-0.064297071,-0.790229391,1,1,2.007671848,1.872184664,1.984160362,1.925955645,4,4,4,4
湖北,13177.75,5078.75,112.5,112.5,31.5,2.093535418,21.91644131,0.073132927,-2.665476878,1.81400434531756E-05,-11.33670389,0.151001047,0.095800416,0.073077653,-1.909217559,-2.393456514,-2.656339776,1,1,1.118417875,1.107816188,0.91444739,0.877297263,3,3,3,3
湖南,13144.2,5045.2,111.8,111.8,27.4,9.241912635,20.38168277,0.1478438,-1.959778268,8.45686924001666E-05,-9.691398716,0.287386393,0.215462712,0.152394452,-1.28443498,-1.586469571,-1.92687716,1,1,1.38901121,1.354669562,1.265555514,1.220539955,4,4,4,4
甘肃,12696.0,4597,101.7272727,101.7272727,37.54545455,2.095147541,9.030428062,0.091831534,-2.67422671,9.29400744032278E-05,-10.28599366,0.14195498,0.107885408,0.075018627,-2.095662841,-2.415657382,-2.722570702,1,1,1.037668424,1.104755497,1.138668952,1.007346313,3,3,3,3
福建,13407.666666666700,5308.666666666670,117.6666667,117.6666667,26.33333333,7.956176664,21.27649277,0.146446506,-2.220600366,0.000130097,-9.688650009,0.352839921,0.252476507,0.189457391,-1.119789574,-1.511106935,-1.753289228,1,1,1.460319135,1.263433992,1.266142088,1.206554501,4,4,4,4
西藏,12088.107142857100,3989.107143,88.28571429,88.28571429,31.5,6.891142579,7.427738309,0.156837841,-2.10057079,0.004782205,-5.875532078,0.714052111,0.535095207,0.255031607,-0.626100173,-0.91412864,-1.541163511,1,1,1.674136015,1.305420338,2.079861454,1.684501233,4,4,4,4
贵州,12905.25,4806.25,106.5,106.5,26.5,4.351329127,16.95888789,0.088685905,-2.735062757,8.27634702727102E-05,-10.03745343,0.270687287,0.184782267,0.139448759,-1.37537584,-1.817723029,-2.06138862,1,1,1.349624724,1.083475048,1.191707438,1.037477056,4,3,3,3
辽宁,13610.0,5511,122,122,41,-0.101831421,15.62131165,0.065570381,-2.746144837,8.03329597167003E-06,-12.12220594,0.088319892,0.053694334,0.042416598,-2.466872502,-2.991732232,-3.230067637,1,1,0.876897519,1.079598536,0.746821252,0.755043543,3,3,2,2
重庆,12989.333333333300,4890.333333333330,108.3333333,108.3333333,29.66666667,6.275718363,17.10976204,0.154485429,-2.12423008,0.000110141,-9.805038341,0.277681491,0.204780206,0.145297361,-1.342698927,-1.716814457,-2.026439932,1,1,1.363777095,1.297144318,1.191304818,1.175354381,4,4,3,3
陕西,13007.166666666700,4908.166666666670,108.6666667,108.6666667,35.33333333,0.177493072,14.36916925,0.072065244,-3.085363086,3.78205178386083E-05,-11.37539147,0.142594806,0.096961784,0.070847038,-2.11770042,-2.633046807,-2.888261305,1,1,1.028123948,0.960939993,0.906191461,0.794887345,3,3,3,2
青海,12445.235294117600,4346.235294117650,96.17647059,96.17647059,35.58823529,5.24883013,7.669794329,0.120936959,-2.289714252,0.001258523,-7.352080709,0.307654807,0.24055178,0.145153043,-1.318310016,-1.569705169,-2.021697179,1,1,1.374339932,1.239257955,1.764765977,1.456196312,4,4,4,4
黑龙江,13857.714285714300,5758.714285714290,127.4285714,127.4285714,47.85714286,4.691169532,11.1063933,0.361365507,-1.60341307,0.000387755,-9.906582798,0.311746113,0.236750804,0.166906515,-1.547499504,-1.91415334,-2.169373085,1,1,1.275077965,1.479326108,1.219635231,1.251143926,4,4,4,4