NAME,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,SnSv_pred_linear,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,regime_FNR,regime_HOP,regime_LER,regime_REG
上海,13560.0,5461.0,121.0,121.0,31.0,-19.77854169890139,34.51076342043444,0.1768877376618634,0.0195306859381344,-3.935768412430015,3.1954745145805545e-07,-14.95636005629092,0.0657696951648446,0.0216870957541622,0.0200263124396511,-2.721596106545901,-3.8310378610263136,-3.9107082481178868,1.0,1.0,0.7665767262549703,0.6634682093319808,0.1420127639875175,2,2,2,2
云南,12657.333333333334,4558.333333333333,101.0,101.0,25.666666666666668,7.794135578717891,12.03141009289631,1.465818434799846,0.16674146592568861,-1.987392103636741,0.0018686824630215493,-7.778773659839122,0.6203958320316493,0.4682612027183503,0.3046549383962031,-0.6574881221314832,-0.9591225603023332,-1.293986914629072,1.0,1.0,1.6605418943048547,1.345010242147868,1.6737097009903312,4,4,4,4
内蒙古,13257.21875,5158.21875,114.125,114.125,44.1875,3.5785925808766255,9.222015503219945,1.2032152088300874,0.29113942236779083,-1.8972784460441126,0.00025084766620396803,-9.846982028291038,0.2305165533057155,0.1831230441988902,0.11780525520983698,-1.8163544709406703,-2.133744463867044,-2.485656570849702,1.0,1.0,1.1586368786355958,1.3765319995737695,1.2323540351626923,3,4,4,4
台湾,13556.0,5457.0,121.0,121.0,23.0,11.74341342362172,24.127613415651822,1.2367208878605314,0.0958235259481201,-2.345247050582385,0.0001152620799064,-9.06830206677413,0.3772459256039998,0.2826801924499388,0.2284111451274974,-0.9748579816469757,-1.263439082354781,-1.476608005860595,1.0,1.0,1.5230890081486947,1.2198325817062816,1.3985243389504005,4,4,4,4
吉林,13821.333333333334,5722.333333333333,126.66666666666667,126.66666666666667,43.666666666666664,3.121383687028264,13.162537810004652,1.0395602499548866,0.14067783600604775,-2.140365840440237,7.448191835603557e-05,-10.780780579189367,0.15758161247403898,0.11502739491097165,0.08707869875622237,-2.021695167237809,-2.389512740089554,-2.6380801109343466,1.0,1.0,1.0697038230693048,1.291500029014005,1.0330814244009892,3,4,3,3
四川,12731.9,4632.9,102.6,102.6,30.8,2.346143619029132,13.908499996694058,1.194955157759043,0.10634293287614031,-2.6106980441204697,0.0015829760816100634,-8.967293770836482,0.3959673150164791,0.28459561914961085,0.1574935017297829,-1.2238337421588386,-1.6897703817264411,-2.1222173870221086,1.0,1.0,1.4152576062710072,1.1269778241666597,1.4200795093034946,4,3,4,3
天津,13384.0,5285.0,117.0,117.0,39.0,-17.493708199541842,19.599234306608814,-0.14257100179893278,0.0113863581553289,-4.4753392931839695,5.6873686733139345e-08,-16.682433050348227,0.0433695505774198,0.0131842557177022,0.0122106551474697,-3.137997683710578,-4.328731909939545,-4.405446335667564,1.0,1.0,0.5862332031849489,0.4747263152442476,-0.22633121294431158,2,2,1,1
安徽,13380.5,5281.5,117.0,117.0,32.0,0.0871463191748515,24.531051418861985,0.7561352506724118,0.06335931633627075,-2.7998889645364526,7.0608818740851324e-06,-12.080689692720803,0.12335675366485532,0.07264207489124976,0.05573019137486157,-2.1066191683248663,-2.650993525776151,-2.9099914688957393,1.0,1.0,1.0329232381985005,1.060798840205149,0.7556808195733806,3,3,2,2
山东,13418.6,5319.6,117.8,117.8,36.2,-8.54308473444279,22.881934578794468,0.38466459907833067,0.0321043489307465,-3.5587957579210916,1.2920016108960071e-06,-13.8747552920539,0.06411934365985916,0.03223680037647584,0.02592786959726724,-2.754056142935489,-3.466400076009468,-3.6713635923602594,1.0,1.0,0.7525182844946399,0.7953332438792022,0.37282722067569773,2,2,2,2
山西,13158.0,5059.0,112.0,112.0,37.0,-4.617190824077011,16.78437183829585,0.4841751211892896,0.025669410622162978,-3.7100482243882897,3.234880243907691e-06,-12.89650904587454,0.07309945762938708,0.039279699298682504,0.03204763270220143,-2.6292580760179725,-3.269495392098543,-3.4647047216740727,1.0,1.0,0.8065683272766162,0.7424251311089762,0.5815849696103732,3,2,2,2
广东,13226.333333333334,5127.333333333333,113.66666666666667,113.66666666666667,23.666666666666668,-1.2036822128721822,30.798932351542742,0.8000364004259212,0.05784856732570853,-3.1672250518140044,3.080720895468835e-05,-11.284960583161748,0.2370452428794969,0.1409549135008564,0.10920929114814937,-1.5028590609238062,-2.120136198900805,-2.3408597763484758,1.0,1.0,1.2944117407138997,0.9323046768754613,0.9254894115532828,4,3,3,3
广西,12998.4,4899.4,108.6,108.6,23.8,11.537253917538404,19.06961327196788,1.3800958194681565,0.1709874088334249,-1.81443798335965,0.0002237570236007418,-8.677914086967313,0.4216086503938138,0.3246833829832595,0.2278729340209101,-0.8925502838528623,-1.1621582201776275,-1.501397148037083,1.0,1.0,1.5587364720633254,1.4055095934207944,1.4818331338411752,4,4,4,4
新疆,11956.891304347826,3857.891304347826,85.26086956521739,85.26086956521739,41.30434782608695,5.87476878521648,7.974914266196925,1.5203452489657727,0.2842952548209374,-1.4968208048270635,0.0018270500376199072,-7.9684646804063695,0.40196083387078985,0.32653589004363515,0.17787894620320246,-1.2092171545011938,-1.4220556249693643,-1.8990481012452287,1.0,1.0,1.421588050385533,1.5166120824714933,1.6332296372012807,4,4,4,4
江苏,13471.5,5372.5,119.0,119.0,34.0,-0.18179197132968783,22.553321097924204,0.7464136928868057,0.0657078245358392,-2.7322032359129924,5.257961461568974e-06,-12.226206645178943,0.09443648511355884,0.05780921694919949,0.0425935441553112,-2.360376443310737,-2.853802766546397,-3.1575777508074188,1.0,1.0,0.92302096240212,1.0844753080776353,0.7246275019188135,3,3,2,2
江西,13310.75,5211.75,115.5,115.5,27.5,10.91852169731551,20.423714418177465,1.3025119942723646,0.17536599465121955,-1.7690733082052597,0.0001125717589497101,-9.33058226007531,0.34483138517264134,0.2605267697201999,0.18691324721030705,-1.1007811551055213,-1.3903873100568727,-1.717918086191319,1.0,1.0,1.4685516817237987,1.4213781567898,1.3425537456999286,4,4,4,4
河北,13316.75,5217.75,115.5,115.5,39.5,-12.488307984233193,17.483573620694717,0.039131935710325916,0.01181357081065235,-4.462939859471426,2.741354639143052e-07,-15.283364779088163,0.04761499041832722,0.016950637471562675,0.015303004965660526,-3.0518416289916654,-4.090672580420563,-4.190885383066166,1.0,1.0,0.6235473904837097,0.47906363715689526,0.07222995614258565,2,2,2,2
河南,13201.5,5102.5,113.0,113.0,34.0,-11.966806413589403,23.8614824710684,0.25794633835624575,0.020843862589125,-4.049321949495243,1.2036472543998939e-06,-14.19081605523667,0.0737217949059529,0.03270248899103915,0.02758808704499225,-2.6342944583511554,-3.5239822053457583,-3.670042857988784,1.0,1.0,0.8043870700881146,0.6237471820665639,0.30537985381249433,3,2,2,2
浙江,13514.0,5415.0,120.0,120.0,29.0,4.54386706125957,23.69329438345073,0.969246785383379,0.10202572539076564,-2.486607049252176,3.305851111148713e-05,-10.89290140297825,0.207481080026414,0.1428263576146204,0.10960434873233865,-1.661347241367514,-2.0982785456806257,-2.343094465993041,1.0,1.0,1.2257705097637297,1.1703848541715889,1.0091548406044413,4,3,3,3
海南,13014.0,4915.0,109.0,109.0,19.0,11.439766405889827,9.728059435552568,1.9259556447693549,0.6185864730175539,-0.480318286061181,0.0017927745988456,-6.323990804004079,1.154898637232242,0.93772638657821,0.4537406995092913,0.14401258015054041,-0.06429707127217879,-0.7902293905623621,1.0,1.0,2.007671848463199,1.8721846635357988,1.9841603624255295,4,4,4,4
湖北,13177.75,5078.75,112.5,112.5,31.5,2.0935354175389174,21.916441312529336,0.877297262849116,0.07313292667014262,-2.6654768784303218,1.8140043453175614e-05,-11.336703887201475,0.1510010470010627,0.09580041608619705,0.0730776525577934,-1.9092175587218843,-2.393456513805225,-2.656339776497661,1.0,1.0,1.118417875317552,1.1078161879250734,0.9144473904712052,3,3,3,3
湖南,13144.2,5045.2,111.8,111.8,27.4,9.241912634854568,20.38168277464043,1.2205399550099625,0.14784380018085963,-1.9597782675734998,8.456869240016656e-05,-9.691398716327006,0.2873863928178186,0.21546271175986503,0.15239445202923432,-1.284434979997636,-1.5864695713716825,-1.9268771604549677,1.0,1.0,1.3890112101630239,1.3546695620027898,1.2655555139358166,4,4,4,4
甘肃,12696.0,4597.0,101.72727272727273,101.72727272727273,37.54545454545455,2.095147541447298,9.030428061963214,1.0073463129897153,0.09183153396987499,-2.6742267099422903,9.294007440322775e-05,-10.285993664198436,0.1419549795194252,0.10788540791570539,0.07501862749071166,-2.0956628411289953,-2.415657381669517,-2.7225707017654135,1.0,1.0,1.0376684235070321,1.1047554968621869,1.1386689520600535,3,3,3,3
福建,13407.666666666666,5308.666666666667,117.66666666666667,117.66666666666667,26.333333333333332,7.956176664320195,21.276492772371856,1.1765545010389744,0.1464465057627623,-2.220600365991168,0.00013009733875575126,-9.688650008965602,0.35283992057034413,0.2524765071195152,0.18945739057029445,-1.1197895741065313,-1.5111069346208985,-1.7532892283233406,1.0,1.0,1.4603191354544613,1.2634339919762894,1.2661420880867404,4,4,4,3
西藏,12088.107142857143,3989.1071428571427,88.28571428571429,88.28571428571429,31.5,6.891142579159323,7.427738309098231,1.6845012325843465,0.1568378412897072,-2.100570789820237,0.004782204535865664,-5.875532078466823,0.714052110751234,0.5350952067829384,0.2550316071771217,-0.6261001726231382,-0.9141286397301783,-1.5411635110329278,1.0,1.0,1.674136015236919,1.305420337720881,2.07986145445518,4,4,4,4
贵州,12905.25,4806.25,106.5,106.5,26.5,4.35132912744603,16.95888789130074,1.037477055722443,0.08868590495534218,-2.7350627566437984,8.27634702727102e-05,-10.037453428727009,0.270687286879074,0.18478226698873518,0.13944875853594355,-1.3753758400038176,-1.8177230286824362,-2.0613886203197698,1.0,1.0,1.3496247236943466,1.0834750477259993,1.1917074383096562,4,3,3,3
辽宁,13610.0,5511.0,122.0,122.0,41.0,-0.10183142069504192,15.62131164568565,0.755043543297122,0.06557038100552476,-2.7461448373200312,8.033295971670025e-06,-12.122205939734345,0.08831989243578257,0.05369433439003787,0.042416598046265644,-2.4668725022344953,-2.991732231628499,-3.2300676365453405,1.0,1.0,0.8768975192822401,1.0795985359054532,0.7468212524606908,3,3,2,2
重庆,12989.333333333334,4890.333333333333,108.33333333333333,108.33333333333333,29.666666666666668,6.27571836337259,17.10976204089136,1.175354381442816,0.15448542863562953,-2.1242300795327296,0.00011014111705964206,-9.805038341357587,0.27768149124440383,0.20478020622931029,0.1452973614635741,-1.3426989268409726,-1.7168144565157821,-2.0264399318909363,1.0,1.0,1.3637770947851748,1.297144318179451,1.241304817954291,4,4,4,3
陕西,13007.166666666666,4908.166666666667,108.66666666666667,108.66666666666667,35.333333333333336,0.17749307212465482,14.369169249480308,0.7948873446496765,0.072065244207906,-3.0853630856112724,3.7820517838608325e-05,-11.375391466524912,0.1425948061429881,0.09696178411274776,0.07084703824342146,-2.1177004197574925,-2.633046806756423,-2.8882613048291925,1.0,1.0,1.0281239482030302,0.960939992653177,0.9061914610435835,3,3,3,2
青海,12445.235294117647,4346.235294117647,96.17647058823529,96.17647058823529,35.588235294117645,5.2488301298497655,7.66979432924817,1.4561963121483519,0.12093695919686522,-2.28971425186852,0.0012585229091705383,-7.352080709322955,0.30765480687934577,0.24055178026290336,0.14515304254945685,-1.3183100162227657,-1.5697051689520904,-2.0216971790524414,1.0,1.0,1.3743399319739202,1.2392579546963918,1.7647659766304813,4,4,4,4
黑龙江,13857.714285714286,5758.714285714285,127.42857142857143,127.42857142857143,47.857142857142854,4.691169531508527,11.106393304554246,1.2511439256660868,0.3613655067592361,-1.603413069576488,0.00038775547770338996,-9.906582798221132,0.31174611344989195,0.2367508037625121,0.16690651488633104,-1.5474995041841926,-1.914153340417137,-2.169373084604812,1.0,1.0,1.275077964737826,1.4793261082621445,1.2196352308596103,4,4,4,4
