NAME_1,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
Alabama,4201,12302,273,-87,33,14.26160722,15.54480182,0.308971408,-1.174506537,0.00063479,-7.362215642,0.726106997,0.570117192,0.429522908,-0.320057896,-0.56191334,-0.845080202,1,1,1.302757071,1.043862116,1.238400646,1.21994797,4,3,4,4
Alaska,1275.19697,9376.19697,207.6363636,-152.3636364,64.12121212,11.26558403,7.360564637,2.660597732,0.87987697,0.006830767,-5.330414642,1.074909718,0.840141033,0.44760249,0.007264655,-0.241864188,-0.834174014,1,1,1.50973163,2.093052208,1.871436693,2.004311092,4,4,4,4
Arizona,3077,11178,248,-112,35,6.202846506,8.83044468,0.192791733,-1.706688748,0.000412412,-8.139691696,0.3242369,0.269660977,0.199905646,-1.163897613,-1.351794192,-1.631118261,1,1,0.769175278,0.772072403,0.996167097,0.802294697,2,2,3,3
Arkansas,3977,12078,268,-92,35,13.38356426,13.37261631,0.394852166,-0.935055169,0.000936931,-7.022317555,0.774223693,0.622000793,0.42896865,-0.265341528,-0.484802685,-0.85360024,1,1,1.337355653,1.166151845,1.344300653,1.224523741,4,3,4,4
California,2754.727273,10855.72727,240.8181818,-119.1818182,36.81818182,5.407576469,11.15707454,0.170115355,-1.976739295,0.000251107,-9.304058191,0.298558575,0.22611046,0.172274527,-1.368474066,-1.676686153,-1.93638323,1,1,0.639816268,0.634155428,0.633392414,0.511987259,2,2,2,2
Colorado,3344.818182,11445.81818,253.9090909,-106.0909091,38.81818182,5.985068422,9.28692476,0.143843016,-2.018810923,0.000396398,-8.153489611,0.298748773,0.237238328,0.187114768,-1.259763966,-1.49927127,-1.719551355,1,1,0.70855649,0.612669111,0.991868163,0.806560083,2,2,3,3
Florida,4379,12480,277,-83,29,12.1229254,12.06359201,0.351931762,-1.098689518,0.001330496,-6.747354463,0.841126246,0.670152754,0.451811247,-0.223222064,-0.45435398,-0.824268032,1,1,1.363988885,1.082582473,1.429969254,1.233652023,4,3,4,4
Georgia,4335.5,12436.5,276,-84,32,13.92357963,14.25444045,0.388544929,-1.002180438,0.001196927,-6.975724152,0.872033524,0.693335862,0.509120173,-0.180272906,-0.412776009,-0.708560649,1,1,1.391146754,1.131870433,1.35881748,1.217914517,4,3,4,4
Idaho,2928.6,11029.6,244.6,-115.4,44.2,8.330197388,9.458990271,0.295586401,-1.253174917,0.000764754,-7.419492399,0.472359409,0.371497822,0.288782673,-0.814646234,-1.052416399,-1.29207164,1,1,0.990016005,1.003685544,1.22055527,1.057672188,3,3,4,3
Illinois,4114.5,12215.5,271,-89,40,8.84848181,13.52875333,0.218961741,-1.535188391,0.000159871,-8.847098892,0.296763723,0.232959034,0.166392359,-1.237916152,-1.484585691,-1.812766526,1,1,0.722371431,0.859659007,0.775764481,0.713137874,2,3,2,2
Indiana,4249.5,12350.5,274,-86,40,8.053233296,14.40160501,0.187331843,-1.685111589,8.94E-05,-9.342699804,0.235600987,0.182383377,0.133086185,-1.448986573,-1.705824494,-2.020584579,1,1,0.588906116,0.783092031,0.621353078,0.578775751,2,2,2,2
Iowa,3917.4,12018.4,266.6,-93.4,41.8,9.724456896,11.28025759,0.341833563,-1.07577426,0.000389734,-7.865659151,0.431928396,0.345540278,0.230780424,-0.843488266,-1.0667006,-1.469439465,1,1,0.971778439,1.094285479,1.081545772,1.020150077,3,3,3,3
Kansas,3715,11816,262.1428571,-97.85714286,38.14285714,10.08346672,11.10447321,0.321995821,-1.14412685,0.000724384,-7.361038114,0.541772829,0.433779075,0.294299754,-0.625576244,-0.849801536,-1.233492053,1,1,1.109569876,1.059377265,1.238767521,1.100265042,3,3,4,3
Kentucky,4248,12349,274,-86,37,10.81512558,14.82139024,0.241599593,-1.427570351,0.000232663,-8.401926479,0.376406039,0.303937745,0.222948304,-0.9842674,-1.198798751,-1.505890449,1,1,0.882760132,0.914620401,0.914464178,0.829140217,3,3,3,3
Louisiana,3930.5,12031.5,267,-93,32,12.88955763,12.35326647,0.395238705,-0.958316856,0.001364231,-6.665444289,0.824594161,0.654622839,0.451126308,-0.227031361,-0.45990321,-0.820641909,1,1,1.361580168,1.154271915,1.455489516,1.284575542,4,3,4,4
Maine,4987.333333,13088.33333,290.3333333,-69.66666667,45.66666667,9.134173376,9.567614095,0.49424173,-0.737402113,0.000586763,-7.60592325,0.493294197,0.388295264,0.258949986,-0.737673307,-0.982093309,-1.361803568,1,1,1.038687989,1.267094842,1.162470129,1.156571642,3,4,3,3
Maryland,4654,12755,283,-77,39,5.513259652,16.01064637,0.096479876,-2.338420831,4.04E-05,-10.11711178,0.205928109,0.135177314,0.109107551,-1.580228158,-2.001167925,-2.215421175,1,1,0.50591865,0.449441774,0.380074184,0.262750414,2,2,2,2
Michigan,4271.142857,12372.14286,274.4285714,-85.57142857,44.71428571,8.743395518,11.696634,0.429873862,-1.018561783,0.000469729,-8.412488591,0.393674654,0.310328742,0.185065238,-1.073574479,-1.322290558,-1.788530566,1,1,0.826288944,1.123504349,0.911173405,0.928248654,3,3,3,3
Minnesota,3863,11964,265.3333333,-94.66666667,47,9.420092807,10.37970576,0.493372063,-0.796328428,0.000573524,-7.764940496,0.453896858,0.356478855,0.242174396,-0.84460977,-1.090663031,-1.455418451,1,1,0.971069282,1.237000701,1.112926079,1.109875664,3,4,3,3
Mississippi,4065.5,12166.5,270,-90,32,13.24263466,13.21073708,0.413493185,-0.976201328,0.001313222,-6.833578699,0.890117967,0.710067815,0.488891981,-0.172536863,-0.410369764,-0.759667507,1,1,1.396038456,1.145138172,1.403104886,1.250376966,4,3,4,4
Missouri,3978.5,12079.5,268,-92,38,11.78740857,12.82434795,0.361349652,-1.046299202,0.000683319,-7.447801635,0.60558401,0.486702661,0.326737993,-0.545738134,-0.768322242,-1.155471457,1,1,1.160053589,1.109338627,1.211735131,1.201318345,3,3,4,4
Montana,3188.2,11289.2,250.3333333,-109.6666667,47.4,9.662955225,9.393579501,0.453470401,-0.818414733,0.001039573,-6.927307023,0.577335891,0.457846968,0.340116758,-0.559929337,-0.79232233,-1.087042176,1,1,1.151080122,1.225721048,1.373902515,1.26509683,3,4,4,4
Nebraska,3665,11766,261,-99,41,9.917844632,10.73777891,0.335987311,-1.096059115,0.000679331,-7.357956778,0.522663981,0.416407109,0.281187162,-0.656392888,-0.884103422,-1.274772083,1,1,1.090083711,1.083925841,1.239727554,1.202312064,3,3,4,4
Nevada,2865.375,10966.375,243.25,-116.75,39.25,8.515316432,8.062791185,0.396530915,-1.005106267,0.002489025,-6.38522412,0.650234125,0.540506208,0.328390685,-0.512314271,-0.698895709,-1.158427604,1,1,1.181188366,1.130376188,1.542796032,1.31791887,3,3,4,4
New Hampshire,4926,13027,289,-71,43,6.505318429,12.52255856,0.169451348,-1.775189426,7.22E-05,-9.536057673,0.22323604,0.16819745,0.123707396,-1.499525591,-1.782616693,-2.089836208,1,1,0.556948981,0.737088559,0.561109727,0.518452425,2,2,2,2
New Jersey,4745,12846,285,-75,41,1.504110674,16.47073199,0.057530163,-2.855445892,1.17E-05,-11.35483947,0.145655846,0.087483042,0.074079015,-1.92650866,-2.436310315,-2.602622987,1,1,0.286956485,0.185392939,-0.005557206,-0.106672496,2,2,1,1
New Mexico,3301.5,11402.5,253,-107,34,7.123478155,8.471828341,0.21911511,-1.545868481,0.000640343,-7.393572748,0.438648046,0.367327449,0.275807174,-0.84981085,-1.029468434,-1.308638518,1,1,0.967780505,0.8542046,1.2286309,0.987791259,3,3,4,3
New York,4656,12757,283,-77,43,7.076505205,13.45018328,0.205057196,-1.641811299,0.000100373,-9.47881876,0.221181679,0.168760803,0.121006775,-1.540372822,-1.820227941,-2.144537055,1,1,0.531120215,0.805205835,0.578943312,0.562176902,2,3,2,2
North Carolina,4607,12708,282,-78,35,11.79321617,12.14131102,0.400656063,-0.960536296,0.000983778,-7.092347501,0.721234974,0.567713371,0.348711995,-0.358225501,-0.602049791,-1.061946124,1,1,1.278622702,1.153138429,1.322481843,1.201878324,4,3,4,4
North Dakota,3604.142857,11705.14286,259.5714286,-100.4285714,47.85714286,8.276664022,10.14945208,0.362994914,-1.030042592,0.000259337,-8.272280222,0.354620451,0.279410552,0.205697714,-1.040008691,-1.278679988,-1.583879957,1,1,0.847513465,1.117641008,0.954857285,0.952939473,3,3,3,3
Ohio,4414.666667,12515.66667,277.6666667,-82.33333333,40.33333333,6.544756371,14.85073183,0.138807637,-2.000823048,6.30E-05,-9.828124645,0.201219586,0.149321473,0.113953874,-1.616483936,-1.923204909,-2.192791276,1,1,0.482993179,0.621855663,0.470112173,0.403972931,2,2,2,2
Oklahoma,3729.75,11830.75,262.5,-97.5,35.5,10.95339424,10.76439675,0.371415898,-0.995828319,0.001169298,-6.777684134,0.692197999,0.556233959,0.37218273,-0.372170769,-0.59109012,-0.991422095,1,1,1.269804746,1.135114511,1.42051962,1.251139639,4,3,4,4
Oregon,2702.285714,10803.28571,239.5714286,-120.4285714,44.14285714,8.827565674,9.763518301,0.355574754,-1.095600327,0.00086196,-7.402256187,0.51933587,0.40532092,0.304319477,-0.725780242,-0.982237085,-1.249515758,1,1,1.046208282,1.084160148,1.225925453,1.202674184,3,3,4,4
Pennsylvania,4610,12711,282,-78,41,5.1299505,14.1898097,0.100815318,-2.298054404,4.44E-05,-10.03073011,0.203503237,0.136288642,0.107942569,-1.595158154,-1.996502209,-2.229647927,1,1,0.496478025,0.470057232,0.406987603,0.288969516,2,2,2,2
South Carolina,4441.666667,12542.66667,278.3333333,-81.66666667,34.33333333,11.3570899,15.08351168,0.249682109,-1.483465719,0.000517478,-8.071854584,0.543099048,0.420756989,0.316264731,-0.705893967,-0.972240309,-1.225175908,1,1,1.058782891,0.886074189,1.017302698,0.880788385,3,3,3,3
South Dakota,3621.5,11722.5,260,-100,44,10.2416289,9.871375432,0.474095026,-0.763146153,0.001255404,-6.920616323,0.637181011,0.512485849,0.332636899,-0.489006067,-0.706978814,-1.131083952,1,1,1.195926749,1.253947155,1.375987096,1.28177352,3,4,4,4
Tennessee,4202,12303,273,-87,35,12.39132999,15.03054218,0.287722518,-1.292284534,0.000460898,-7.846903002,0.538612544,0.426568908,0.313010507,-0.644338336,-0.881464213,-1.18036996,1,1,1.097706117,0.98371195,1.087389513,0.972938458,3,3,3,3
Texas,3632.1875,11733.1875,260.375,-99.625,31.625,9.10506837,9.493991157,0.319245242,-1.16509962,0.001113376,-6.938158529,0.613660667,0.496609501,0.343174376,-0.517923109,-0.733103307,-1.091450426,1,1,1.177641752,1.048666303,1.370521576,1.205269951,3,3,4,4
Utah,3064.333333,11165.33333,247.6666667,-112.3333333,39.66666667,6.57299524,8.984152664,0.160462538,-1.856636298,0.000485438,-7.75032384,0.320415955,0.253840709,0.20106556,-1.160970021,-1.394826875,-1.620898649,1,1,0.771026471,0.695492989,1.117480103,0.834442742,2,2,3,3
Vermont,4836.5,12937.5,287,-73,44,5.549947521,11.95662212,0.144271975,-1.968135579,6.50E-05,-9.735663733,0.243242609,0.161988539,0.131339617,-1.414486062,-1.831217252,-2.035974204,1,1,0.610721686,0.638549415,0.498919665,0.431613428,2,2,2,2
Virginia,4563,12664,281,-79,37,9.91703209,13.88064362,0.232025778,-1.469450375,0.000219854,-8.468648112,0.356216067,0.282059697,0.209011447,-1.042530487,-1.275696909,-1.569522057,1,1,0.845918867,0.893231938,0.89367612,0.804429449,3,3,3,3
Washington,2678.25,10779.25,239,-121,47.5,7.355690028,10.73985922,0.2691148,-1.415050281,0.000286782,-8.586798063,0.33852482,0.249634911,0.196325284,-1.166292392,-1.485267491,-1.700857126,1,1,0.767660997,0.921014501,0.856864848,0.802145507,2,3,3,3
West Virginia,4519,12620,280,-80,39,7.34550197,14.67783258,0.135632136,-2.003356517,8.62E-05,-9.374967705,0.235348153,0.175561233,0.139404753,-1.447298835,-1.742248336,-1.972389307,1,1,0.589973317,0.6205618,0.611299562,0.490831332,2,2,2,2
Wisconsin,4086.833333,12187.83333,270.3333333,-89.66666667,44.66666667,9.693959233,10.93397474,0.418085654,-0.920752352,0.000514209,-7.782399203,0.41877791,0.330490529,0.211346449,-0.905773486,-1.144638892,-1.578668395,1,1,0.932393875,1.173456408,1.107486575,1.07314487,3,3,3,3
Wyoming,3238.5,11339.5,251.5,-108.5,43,7.527973493,9.700387337,0.210716206,-1.625866711,0.000549472,-7.717740927,0.425005749,0.333864952,0.264909331,-0.923907513,-1.168546599,-1.389197069,1,1,0.920927258,0.813348864,1.127631766,0.904847998,3,3,3,3