Region,Sn,Sn_err,Sv,Sv_err,SnSv,R2
BTH,-9.901132,0.1837589,4.863086,0.174193,-2.035977155,0.8649
GBA,0.1475995,0.0995392,1.497546,0.0561901,0.098560912,0.9432
CCE,0.3448996,0.0848646,1.208617,0.0334955,0.285367159,0.8741
YYN,1.673687137,0.72249,1.303109,0.1116408,1.28438,0.8195
QTP,3.846261,0.1295044,1.263858,0.040323,3.043269893,0.9387
KOR,-0.1187337,0.239789,1.448416,0.0767369,-0.081974861,0.8943
JPN,-0.1156291,0.0765681,1.353738,0.0534256,-0.085414681,0.8596
GBR,-1.642956,0.1126487,2.431756,0.1104726,-0.675625351,0.8225
FRA,0.4666636,0.0808901,1.024897,0.0329644,0.455327316,0.7047
DEU,-1.182926,0.282724,2.000965,0.0899827,-0.591177757,0.856
FIN,0.1592758,0.3316645,1.598572,0.108084,0.0996363,0.7163
NOR,-0.2197423,0.5381185,1.5428,0.1070704,-0.14243084,0.7399
SGP,0.7178349,0.0353666,0.643419,0.031659,1.115656982,0.8766
NY,0.0290985,0.2287202,1.276946,0.0872189,0.022787573,0.8255
CA,-0.437245,0.2740609,1.66463,0.0670239,-0.26266798,0.804
WA,0.2184648,0.1649369,1.445197,0.0693991,0.151166104,0.8269
IL,2.147033,0.6082341,2.07886,0.0990592,1.032793454,0.8384
TO,0.5650048,0.2709837,2.389386,0.1308603,0.236464431,0.717
VAN,0.8767365,0.1632934,1.1896,0.062292,0.737001093,0.8101
AUS,0.6785578,0.1386739,0.7296371,0.0566649,0.929993554,0.7189
IDN,0.571652,0.0265543,0.2839918,0.0693775,2.012917274,0.7134
NZL,1.471023,0.0769593,1.820466,0.069801,0.8080475,0.8644
COD,0.3885972,0.0186846,0.1826891,0.1449888,2.127095705,0.8318
IND,0.8519063,0.0335565,0.4837709,0.04861,1.760970534,0.7449
BRA,1.039605,0.0508381,0.3763526,0.1016394,2.762316509,0.6515
MYS,0.8910681,0.0275718,0.7645574,0.0863958,1.165469198,0.8668