region,Sn,Sn_err,Sv,Sv_err,Sn_adj,Sv_adj,SnSv,SnSv_adj,LER_NOx,LER_NOx2,FNR_NO2,FNR_NOx,FNR_NOy,VOC_NOx,ln_LER_NOx_adj,LER_NOx_adj,ln_LER_NOx2_adj,LER_NOx2_adj,ln_HOP_adj,HOP_adj
AUS,0.6785578,0.1386739,0.7296371,0.0566649,0.744778303,0.664762847,0.929993554,1.120366918,0.00036642,0.113999278,0.442975762,0.339544557,0.282332364,5.233270352,-7.352208901,0.000641175,-1.372292741,0.253525025,-1.131755993,0.32246651
BRA,1.039605,0.0508381,0.3763526,0.1016394,0.834818615,0.468674317,2.762316509,1.781233972,0.024174222,12.51778799,5.869522056,4.778273593,3.453524341,98.62642361,-5.07987519,0.006220685,0.80439539,2.235344579,-0.281708415,0.754493652
BTH,-9.901132,0.1837589,4.863086,0.174193,-2.407484721,1.250009397,-2.035977155,-1.925973298,2.74E-07,0.003817235,0.04761499,0.016950637,0.01540472,0.429686957,-14.1928692,6.86E-07,-5.927205333,0.002665922,-3.714723767,0.02436217
CA,-0.437245,0.2740609,1.66463,0.0670239,-0.38120772,1.909329495,-0.26266798,-0.199655283,1.45E-05,0.015383474,0.134979948,0.087567115,0.071310031,1.086754644,-9.735846856,5.91E-05,-3.041840018,0.047746953,-2.133595079,0.118410831
CCE,0.3448996,0.0848646,1.208617,0.0334955,0.587435382,0.709612551,0.285367159,0.827825524,0.000193715,0.106691761,0.226974223,0.152555139,0.105617874,3.022449834,-7.992975276,0.000337827,-1.731722465,0.176979307,-1.845449534,0.157954299
COD,0.3885972,0.0186846,0.1826891,0.1449888,0.42763539,0.166011687,2.127095705,2.575935449,0.015548394,8.91808689,5.273860758,4.383425596,2.704649348,86.08655751,-3.991055223,0.018480203,1.625091352,5.078882983,-0.139673418,0.869642199
DEU,-1.182926,0.282724,2.000965,0.0899827,-1.250962929,1.892137224,-0.591177757,-0.661137529,1.60E-05,0.012791005,0.094952181,0.070207135,0.054576382,0.556930361,-11.02992671,1.62E-05,-4.09633501,0.016633526,-2.437087639,0.087415065
FIN,0.1592758,0.3316645,1.598572,0.108084,0.24451423,1.041304772,0.0996363,0.234815239,0.000764356,0.208257967,0.455268548,0.352752513,0.230104803,3.494705867,-8.492461403,0.000205008,-2.219384443,0.108675985,-1.42453961,0.240619216
FRA,0.4666636,0.0808901,1.024897,0.0329644,0.479051841,0.998393248,0.455327316,0.479822797,0.000144771,0.058425017,0.226905908,0.181944092,0.131785659,1.932616966,-8.615121447,0.000181343,-2.316312105,0.098636677,-1.680429905,0.18629387
GBA,0.1475995,0.0995392,1.497546,0.0561901,0.214859062,1.028753636,0.098560912,0.208853756,3.09E-05,0.073104307,0.237045243,0.140954914,0.111088679,2.103838084,-10.13707379,3.96E-05,-3.048421873,0.047433722,-2.427075145,0.088294704
GBR,-1.642956,0.1126487,2.431756,0.1104726,-1.496627809,2.66951348,-0.675625351,-0.560636918,1.21E-05,0.006973493,0.108502206,0.080052785,0.064022062,0.306912272,-10.95915505,1.74E-05,-4.161670869,0.015581502,-2.365773876,0.093876623
IDN,0.571652,0.0265543,0.2839918,0.0693775,0.57656167,0.281573488,2.012917274,2.047641892,0.036057363,7.070391334,5.927087437,4.787570229,2.867111126,36.45329248,-4.550538512,0.010561515,0.942246865,2.565739817,-0.190905123,0.826210973
IL,2.147033,0.6082341,2.07886,0.0990592,1.608626865,2.774652792,1.032793454,0.579757896,0.000160542,0.055996244,0.296763723,0.232959034,0.169742276,1.686138954,-8.430530239,0.000218106,-2.213054456,0.109366084,-1.580564782,0.2058588
IND,0.8519063,0.0335565,0.4837709,0.04861,0.694540219,0.593381731,1.760970534,1.170477929,6.28E-06,0.006466931,0.147859793,0.096690257,0.074213904,1.059180731,-8.495229164,0.000204441,-2.174975586,0.113610927,-1.637090951,0.194545161
JPN,-0.1156291,0.0765681,1.353738,0.0534256,-0.092597033,1.690459201,-0.085414681,-0.05477626,0.000101264,0.078528205,0.234358378,0.169494065,0.121685822,1.820136346,-9.375517027,8.48E-05,-2.720953113,0.065811998,-2.065379445,0.126770179
KOR,-0.1187337,0.239789,1.448416,0.0767369,-0.325759237,0.527922992,-0.081974861,-0.617058251,0.000147758,0.068979748,0.266569284,0.205275652,0.119568535,1.790430173,-8.398105076,0.000225294,-2.107201118,0.121577773,-1.622571807,0.197390396
MYS,0.8910681,0.0275718,0.7645574,0.0863958,1.136153357,0.599630944,1.165469198,1.894754381,0.011985491,5.697285489,2.936257416,2.443537495,1.695634574,45.04343544,-5.115905227,0.006000544,0.700011238,2.013775337,-0.642846528,0.525793606
NOR,-0.2197423,0.5381185,1.5428,0.1070704,-0.427832389,0.792409432,-0.14243084,-0.539913297,0.000424763,0.226769353,0.279831474,0.2100685,0.15106228,3.623711439,-9.859238475,5.23E-05,-3.09307164,0.045362403,-1.966438766,0.13995438
NY,0.0290985,0.2287202,1.276946,0.0872189,0.041043731,0.905307886,0.022787573,0.045336765,0.000100697,0.05058142,0.221181679,0.168760803,0.122619976,1.456049068,-9.391709058,8.34E-05,-2.863871676,0.057047463,-1.887457994,0.151456323
NZL,1.471023,0.0769593,1.820466,0.069801,1.72661641,1.550979906,0.8080475,1.113242282,0.001489072,0.212822205,0.740441356,0.573217246,0.441752399,4.3660432,-6.942519002,0.000965834,-1.193282871,0.303224182,-0.994571027,0.36988208
QTP,3.846261,0.1295044,1.263858,0.040323,3.354615951,1.449086216,3.043269893,2.314987138,0.00348421,0.580598261,0.56052424,0.423823246,0.214134596,8.752877334,-4.840769627,0.007900971,0.502673138,1.653134427,-0.916339519,0.399980486
SGP,0.7178349,0.0353666,0.643419,0.031659,0.720980516,0.640611782,1.115656982,1.125456222,0.000630484,0.337515869,0.978025041,0.76711075,0.541340915,4.514295415,-7.181575921,0.000760468,-1.04075942,0.353186363,-1.310693604,0.269632973
TO,0.5650048,0.2709837,2.389386,0.1308603,0.541184818,2.49455364,0.236464431,0.216946555,0.000180785,0.078734283,0.243127943,0.181603427,0.125996065,1.373477233,-9.619201691,6.64E-05,-3.035557839,0.048047852,-2.02044314,0.132596693
VAN,0.8767365,0.1632934,1.1896,0.062292,1.067238571,0.977256415,0.737001093,1.092076301,0.002420432,1.074878314,0.76547711,0.592184865,0.400544857,21.58868458,-6.829306934,0.001081607,-0.731998713,0.480946754,-1.012529141,0.363298982
WA,0.2184648,0.1649369,1.445197,0.0693991,0.268440665,1.176143238,0.151166104,0.228238072,0.000288417,0.215351492,0.33852482,0.249634911,0.198293119,5.851366932,-8.794956971,0.000151495,-2.216970414,0.108938648,-1.727688339,0.177694705
YYN,1.673687137,0.72249,1.303109,0.1116408,1.37269242,0.794422967,1.28438,1.727911298,0.000322313,0.289126621,0.448024058,0.340573414,0.268265721,6.774341405,-7.784713882,0.000416046,-1.390709687,0.248898602,-1.641388058,0.193710973